,KiraKira,Heart,Notes,Fire,Central line,Rain,Thunder,Lens flare,Comicalize,Blur,Change contrast,Zoom in,Zoom out
championship,0.2998502254486084,0,0,0,0,0,0,0,0,0,0,0,0
helmet,0.29984456300735474,0,0,0,0,0,0,0,0,0,0,0,0
participate,0.298944354057312,0,0,0,0,0,0,0,0,0,0,0,0
scenery,0.29770544171333313,0,0,0,0,0,0,0,0,0,0,0,0
performance,0.2951747179031372,0,0,0,0,0,0,0,0,0,0,0,0
diving,0.29151225090026855,0,0,0,0,0,0,0,0,0,0,0,0
costume,0.2907237410545349,0,0,0,0,0,0,0,0,0,0,0,0
rescue,0.290640652179718,0,0,0,0,0,0,0,0,0,0,0,0
panorama,0.29049068689346313,0,0,0,0,0,0,0,0,0,0,0,0
paradise,0.28979212045669556,0,0,0,0,0,0,0,0,0,0,0,0
wet,0.2874303460121155,0,0,0,0,0,0,0,0,0,0,0,0
appoint,0.28625017404556274,0,0,0,0,0,0,0,0,0,0,0,0
traffic,0.2835502028465271,0,0,0,0,0,0,0,0,0,0,0,0
garden,0.2833057940006256,0,0,0,0,0,0,0,0,0,0,0,0
ceremony,0.2762982249259949,0,0,0,0,0,0,0,0,0,0,0,0
facial expression,1.1941345930099487,0,0,0,0,0,0,0,0,0,0,0,0
club,0.275663286447525,0,0,0,0,0,0,0,0,0,0,0,0
restaurant,0.9920186996459961,0,0,0,0,0,0,0,0,0,0,0,0
table,0.9757456183433533,0,0,0,0,0,0,0,0,0,0,0,0
drink,0.9658885598182678,0,0,0,0,0,0,0,0,0,0,0,0
sit,0.962615966796875,0,0,0,0,0,0,0,0,0,0,0,0
meal,0.9598270654678345,0,0,0,0,0,0,0,0,0,0,0,0
indoors,0.9517614841461182,0,0,0,0,0,0,0,0,0,0,0,0
dining,0.9473931789398193,0,0,0,0,0,0,0,0,0,0,0,0
wine,0.9087159633636475,0,0,0,0,0,0,0,0,0,0,0,0
dishware,0.8807480335235596,0,0,0,0,0,0,0,0,0,0,0,0
